City,Country,Lat,Lon,Date,Max Temp (cs),Humidity,Cloudiness,Wind Speed (mph)
Rawlins,US,41.7911,-107.2387,1611760692,-7.0,63,90,2.57
Kaeo,NZ,-35.1,173.7833,1611760421,18.89,88,15,0.89
Aswān,EG,24.0934,32.907,1611760692,23.8,17,0,2.24
Sehithwa,BW,-20.4667,22.7167,1611760692,28.79,52,100,2.6
The Valley,AI,18.217,-63.0578,1611760692,28.0,61,20,7.2
Rome,US,43.2128,-75.4557,1611760541,-3.89,80,90,6.17
Atuona,PF,-9.8,-139.0333,1611760693,25.55,76,1,6.63
Tilichiki,RU,60.4667,166.1,1611760693,-22.94,92,100,5.89
Laas,IT,46.6166,10.7002,1611760693,1.11,55,40,0.51
Sulangan,PH,11.1373,123.7228,1611760693,26.91,81,100,6.26
George Town,MY,5.4112,100.3354,1611760693,26.11,94,40,1.03
Quelimane,MZ,-17.8786,36.8883,1611760693,32.0,66,75,4.63
West Wendover,US,40.7391,-114.0733,1611760693,-3.0,74,90,1.58
Talnakh,RU,69.4865,88.3972,1611760693,-28.29,81,100,1.39
Ormara,PK,25.2088,64.6357,1611760694,20.47,51,0,2.02
Byron Bay,AU,-28.65,153.6167,1611760525,24.0,83,75,2.06
Daru,PG,-9.0763,143.2092,1611760694,26.1,86,100,4.64
Hibbing,US,47.4272,-92.9377,1611760694,-26.0,83,1,1.54
Severo-Kuril'sk,RU,50.6789,156.125,1611760694,-4.35,93,71,3.33
Gīdam,IN,18.9833,81.4,1611760694,21.32,60,18,0.62
Hirara,JP,24.8,125.2833,1611760694,18.04,76,99,6.46
Moranbah,AU,-22.0016,148.0466,1611760694,23.35,76,0,4.92
Muros,ES,42.7762,-9.0603,1611760695,16.11,91,100,3.13
Avarua,CK,-21.2078,-159.775,1611760695,27.0,78,75,7.2
Jalu,LY,29.0331,21.5482,1611760695,16.78,35,0,7.29
Westport,US,41.1415,-73.3579,1611760695,1.67,80,90,2.06
Kamaishi,JP,39.2667,141.8833,1611760695,0.17,90,32,3.97
Westerland,DE,54.9079,8.3033,1611760591,3.0,87,75,4.12
Mnogovershinnyy,RU,53.9353,139.9242,1611760696,-19.38,94,100,2.64
Fairbanks,US,64.8378,-147.7164,1611760501,-20.0,62,1,0.69
Pemangkat,ID,1.1667,108.9667,1611760696,25.35,86,100,3.89
Warrington,GB,53.3925,-2.5802,1611760563,10.56,87,100,1.03
Chapais,CA,49.7834,-74.8492,1611760696,-8.0,93,90,3.09
Khangarh,PK,29.9173,71.1618,1611760696,15.0,58,0,2.06
Smithers,CA,54.7804,-127.1743,1611760696,-6.0,73,90,4.63
Lompoc,US,34.6391,-120.4579,1611760696,10.0,87,90,7.2
Castro,BR,-24.7911,-50.0119,1611760696,24.88,75,100,5.21
Yumen,CN,40.2833,97.2,1611760697,-5.48,76,19,2.4
Hailar,CN,49.2,119.7,1611760697,-26.4,88,100,2.02
Vabalninkas,LT,55.9667,24.75,1611760698,0.17,98,100,5.13
Touros,BR,-5.1989,-35.4608,1611760685,30.61,58,38,7.22
Santa Rosa,PH,14.3122,121.1114,1611760698,26.11,94,75,1.03
La Rioja,ES,42.25,-2.5,1611760698,18.0,68,40,4.12
Bonavista,CA,48.6499,-53.1147,1611760698,-0.56,93,72,2.06
North Myrtle Beach,US,33.816,-78.68,1611760698,15.0,94,75,2.57
Borodino,RU,55.9106,94.8983,1611760698,-10.91,96,100,5.18
Cidreira,BR,-30.1811,-50.2056,1611760698,29.52,59,96,3.46
Shiraz,IR,29.6036,52.5388,1611760645,10.0,20,0,0.5
Ilulissat,GL,69.2167,-51.1,1611760699,-18.79,76,0,1.83
Guerrero Negro,MX,27.9769,-114.0611,1611760699,10.79,63,100,1.06
Yarkovo,RU,57.4028,67.0786,1611760699,-7.49,98,99,2.75
Tommot,RU,58.9564,126.2925,1611760699,-37.82,79,100,1.66
Lata,PT,40.1629,-8.3327,1611760699,16.11,92,100,0.89
San Policarpo,PH,12.1791,125.5072,1611760699,26.38,84,99,6.08
Forsytheganj,BY,52.6333,29.7333,1611760699,-1.13,97,100,2.62
Livingstone,ZM,-17.8419,25.8543,1611760700,24.64,81,100,1.59
Zhigansk,RU,66.7697,123.3711,1611760700,-44.63,76,60,2.9
Chui,UY,-33.6971,-53.4616,1611760700,24.04,74,100,0.77
Tiksi,RU,71.6872,128.8694,1611760482,-38.01,79,100,0.59
Ploemeur,FR,47.7333,-3.4333,1611760700,11.67,100,90,5.66
Tynda,RU,55.1667,124.7167,1611760457,-36.49,78,100,2.21
Abu Samrah,SY,35.3029,37.1841,1611760460,12.81,43,100,3.05
Winsum,NL,53.33,6.5208,1611760700,5.0,96,97,4.77
Huarmey,PE,-10.0681,-78.1522,1611760700,24.33,65,100,4.15
Makaha,US,21.4694,-158.2175,1611760701,24.0,73,1,3.6
Nemuro,JP,43.3236,145.575,1611760701,-3.25,90,57,7.21
Challans,FR,46.8436,-1.8749,1611760594,12.0,94,90,3.6
Northam,GB,51.0333,-4.2167,1611760701,11.67,98,100,3.13
Karratha,AU,-20.7377,116.8463,1611760415,29.54,54,0,7.7
Bilma,NE,18.6853,12.9164,1611760701,28.33,13,0,6.58
Cabedelo,BR,-6.9811,-34.8339,1611760616,28.43,70,40,6.92
Juneau,US,58.3019,-134.4197,1611760701,-7.0,42,1,4.63
Henties Bay,NA,-22.116,14.2845,1611760701,19.31,78,7,5.05
Mackay,AU,-21.15,149.2,1611760698,26.0,78,75,3.6
Alençon,FR,48.4333,0.0833,1611760702,10.0,93,90,2.57
Sibolga,ID,1.7427,98.7792,1611760702,24.99,83,97,1.51
Dunedin,NZ,-45.8742,170.5036,1611760702,13.33,73,33,0.89
Manokwari,ID,-0.8667,134.0833,1611760702,25.26,83,100,6.25
Margate,GB,51.3813,1.3862,1611760702,10.0,80,100,0.89
Mahébourg,MU,-20.4081,57.7,1611760463,28.0,65,20,1.54
Manali,IN,13.1667,80.2667,1611760702,25.0,73,40,1.03
Mindelo,CV,16.8901,-24.9804,1611760702,26.0,53,20,8.23
Kismayo,SO,-0.3582,42.5454,1611760702,26.08,76,17,7.32
Guaranda,EC,-1.6,-79.0,1611760703,17.49,62,8,1.99
Magadan,RU,59.5667,150.8,1611760703,-25.01,79,0,3.4
Faanui,PF,-16.4833,-151.75,1611760447,26.84,75,32,6.84
Yining,CN,29.0361,114.5636,1611760703,6.93,90,100,1.06
Codrington,AU,-38.2667,141.9667,1611760703,14.11,86,2,4.84
Piracanjuba,BR,-17.3028,-49.0167,1611760703,28.56,58,92,4.09
Hong Kong,HK,22.2855,114.1577,1611760678,17.78,86,23,0.89
Severo-Yeniseyskiy,RU,60.3725,93.0408,1611760703,-33.98,86,100,1.5
Vostok,RU,46.4856,135.8833,1611760703,-20.96,92,100,3.4
Haines Junction,CA,60.7522,-137.5108,1611760704,-33.0,68,42,0.51
Yamada,JP,39.4667,141.95,1611760704,-0.2,92,33,2.68
Cedar City,US,37.6775,-113.0619,1611760667,-5.0,80,90,7.2
Xai-Xai,MZ,-25.0519,33.6442,1611760704,28.59,77,85,5.4
Fortuna,US,40.5982,-124.1573,1611760704,6.11,100,90,6.69
Antsohihy,MG,-14.8796,47.9875,1611760704,26.64,87,100,1.9
Tamandaré,BR,-8.7597,-35.1047,1611760704,26.84,78,100,4.58
Curuçá,BR,-0.7289,-47.8481,1611760704,27.21,87,91,1.57
Lázaro Cárdenas,MX,17.9583,-102.2,1611760704,24.41,66,76,1.58
La Palma,US,33.8464,-118.0467,1611760705,8.89,61,75,3.6
Sompeta,IN,18.9333,84.6,1611760705,22.63,82,34,1.26
St. George's,GD,12.0564,-61.7485,1611760705,29.0,61,20,9.26
Hithadhoo,MV,-0.6,73.0833,1611760705,27.65,77,14,5.72
Ati,TD,13.2154,18.3353,1611760705,35.3,9,86,5.11
Yangi Marg`ilon,UZ,40.4272,71.7189,1611760705,1.0,60,0,3.09
Malibu,US,34.005,-118.8101,1611760705,10.56,72,95,1.34
Tonk,IN,26.1667,75.7833,1611760705,12.32,41,0,1.25
Rājāpur,IN,25.3833,81.15,1611760706,12.35,47,0,1.58
Geraldton,AU,-28.7667,114.6,1611760580,20.0,64,0,6.17
Parrita,CR,9.5201,-84.3225,1611760706,24.0,53,0,5.66
Lüderitz,NA,-26.6481,15.1594,1611760706,24.84,45,0,15.25
Ukiah,US,39.1502,-123.2078,1611760698,3.89,87,90,1.54
Wainwright,CA,52.839,-110.8572,1611760513,-17.0,84,88,3.09
Mitú,CO,1.1983,-70.1733,1611760706,29.88,58,62,2.28
Rio Grande,BR,-32.035,-52.0986,1611760448,24.0,94,75,6.17
Narsaq,GL,60.9167,-46.05,1611760706,-5.59,82,99,0.27
Dubovyy Umët,RU,52.9763,50.2857,1611760707,-7.0,86,0,5.0
Bontang,ID,0.1333,117.5,1611760707,26.57,83,88,2.48
Shepsi,RU,44.0361,39.1489,1611760707,12.7,56,100,7.87
Bengkulu,ID,-3.8004,102.2655,1611760707,24.93,91,100,4.74
Bergen,NO,60.392,5.328,1611760707,0.0,74,20,1.54
Te Anau,NZ,-45.4167,167.7167,1611760707,9.78,79,90,3.08
The Pas,CA,53.8251,-101.2541,1611760707,-34.0,68,20,1.03
Rongcheng,CN,30.634,117.8517,1611760707,7.99,87,100,2.17
Sept-Îles,CA,50.2001,-66.3821,1611760593,-4.0,54,58,2.06
Rome,US,34.257,-85.1647,1611760708,11.11,82,90,2.06
Lakhdenpokh'ya,RU,61.5198,30.1992,1611760708,0.0,98,92,1.2
Wanning,CN,18.8003,110.3967,1611760708,20.22,83,23,2.19
Magaria,NE,12.9983,8.9099,1611760708,33.71,10,16,5.81
Carballo,ES,43.213,-8.691,1611760708,16.11,87,100,0.89
Ubari,LY,26.5921,12.7805,1611760708,17.34,29,0,4.21
Provideniya,RU,64.3833,-173.3,1611760708,-17.89,88,100,10.77
Spearfish,US,44.4908,-103.8594,1611760632,-8.89,85,1,1.21
San Patricio,US,28.017,-97.5169,1611760709,16.0,44,75,9.77
Padang,ID,-0.9492,100.3543,1611760709,23.0,94,75,1.03
Ouadda,CF,8.0777,22.4007,1611760709,35.83,15,79,2.77
Sawtell,AU,-30.3833,153.1,1611760709,23.0,94,90,4.12
Nouadhibou,MR,20.931,-17.0347,1611760709,34.0,8,0,2.06
Yeniseysk,RU,58.4497,92.1703,1611760709,-26.6,89,100,1.21
Tabuleiro do Norte,BR,-5.2467,-38.1306,1611760709,35.31,34,87,3.4
Svetlaya,RU,46.5389,138.3297,1611760709,-14.99,78,0,3.36
Hay River,CA,60.8156,-115.7999,1611760430,-24.0,70,100,4.63
Coahuayana Viejo,MX,18.7333,-103.6833,1611760709,22.93,51,100,0.9
Beringovskiy,RU,63.05,179.3167,1611760710,-7.51,97,100,13.07
Gabú,GW,12.2833,-14.2167,1611760710,39.77,7,0,2.81
Christchurch,NZ,-43.5333,172.6333,1611760671,18.89,82,81,7.72
Meulaboh,ID,4.1363,96.1285,1611760710,26.82,78,99,1.01
Naze,JP,28.3667,129.4833,1611760710,14.02,77,31,4.28
Chibuto,MZ,-24.6867,33.5306,1611760710,32.44,51,99,0.84
Tura,IN,25.5198,90.2201,1611760509,15.09,64,0,1.29
Tabuk,PH,17.4189,121.4443,1611760711,20.89,86,69,2.0
Praia da Vitória,PT,38.7333,-27.0667,1611760711,18.33,85,16,2.68
Gobabis,NA,-22.45,18.9667,1611760711,30.82,21,93,5.65
Mamlyutka,KZ,54.9375,68.5394,1611760711,-8.0,86,0,7.0
Crestwood,US,38.557,-90.3818,1611760711,-0.56,93,90,2.57
Seydi,TM,39.4816,62.9137,1611760711,4.18,68,0,3.73
Dhidhdhoo,MV,6.8833,73.1,1611760711,27.59,65,100,6.11
Moose Factory,CA,51.2585,-80.6094,1611760712,-16.0,85,90,3.09
Aklavik,CA,68.2191,-135.0107,1611760712,-24.0,77,100,1.54
Clyde River,CA,70.4692,-68.5914,1611760712,-22.0,71,40,2.06
Nísia Floresta,BR,-6.0911,-35.2086,1611760712,30.0,66,75,7.2
Kungurtug,RU,50.5994,97.5228,1611760712,-19.63,86,100,0.56
Harper,LR,4.375,-7.7169,1611760712,28.28,73,14,2.64
Datong,CN,40.0936,113.2914,1611760712,-10.42,67,6,10.22
Dongying,CN,37.4564,118.4856,1611760700,6.92,55,60,9.74
Marabba,SD,12.35,32.1833,1611760712,35.75,14,32,5.65
Rabo de Peixe,PT,37.8,-25.5833,1611760713,18.89,94,40,7.72
Vega de Alatorre,MX,20.0333,-96.6333,1611760713,24.33,81,90,2.63
Eureka,US,40.8021,-124.1637,1611760713,6.11,85,100,3.13
Rodeo,US,38.033,-122.2669,1611760713,10.0,81,90,2.06
Rawson,AR,-43.3002,-65.1023,1611760414,20.38,32,100,6.56
Chumikan,RU,54.7183,135.315,1611760713,-23.51,89,100,2.36
Turukhansk,RU,65.8167,87.9833,1611760713,-32.75,84,100,4.06
Bol'shoye Murashkino,RU,55.7826,44.7754,1611760713,1.12,91,100,7.75
Husavik,IS,66.0449,-17.3389,1611760713,-8.0,86,90,1.54
Los Llanos de Aridane,ES,28.6585,-17.9182,1611760714,22.0,68,75,2.57
Salta,AR,-24.7859,-65.4117,1611760582,26.0,47,20,1.54
Dongfeng,CN,42.6403,125.5118,1611760714,-9.6,97,100,1.38
Baykit,RU,61.67,96.37,1611760714,-34.98,78,100,2.5
Ciudad Bolivar,VE,8.1222,-63.5497,1611760714,30.19,47,9,6.51
Zhob,PK,31.3411,69.4481,1611760714,8.07,42,0,0.2
Gao,ML,16.6362,1.637,1611760714,31.62,8,0,5.04
Leningradskiy,RU,69.3833,178.4167,1611760454,-29.22,86,100,1.57
Wajid,SO,3.8093,43.2471,1611760714,32.65,26,14,6.75
Andenes,NO,69.3143,16.1194,1611760715,-2.22,68,20,7.2
Mariehamn,AX,60.0973,19.9348,1611760715,-2.0,86,90,3.6
Labuhan,ID,-6.8844,112.2051,1611760715,25.85,85,100,4.23
Cedar Lake,US,41.3648,-87.4411,1611760715,-3.89,80,90,3.6
Pergamino,AR,-33.89,-60.5736,1611760715,32.22,46,0,0.89
Tikrit,IQ,34.6071,43.6782,1611760715,14.99,34,99,3.08
Novopokrovka,UA,49.8425,36.5477,1611760716,5.0,93,75,5.0
Coolum Beach,AU,-26.5333,153.1,1611760716,25.56,88,3,3.03
Guayaramerín,BO,-10.8368,-65.3614,1611760716,27.0,78,75,5.14
Porto San Giorgio,IT,43.1827,13.7934,1611760716,7.78,10,98,1.54
Castelnaudary,FR,43.3183,1.9545,1611760716,13.89,88,90,5.14
Mahenge,TZ,-8.6833,36.7167,1611760716,23.79,87,0,1.17
Port Hardy,CA,50.6996,-127.4199,1611760511,4.0,81,90,2.57
Marrakesh,MA,31.6315,-8.0083,1611760678,27.0,29,0,1.54
Tabou,CI,4.423,-7.3528,1611760717,28.15,74,14,2.85
Pando,UY,-34.7167,-55.95,1611760717,28.33,61,0,7.2
Yaring,TH,6.8662,101.3689,1611760717,25.32,85,51,5.08
Kropotkin,RU,45.4375,40.5756,1611760717,5.24,75,100,4.5
Peachland,CA,49.7665,-119.7357,1611760717,0.0,86,100,2.06
Huesca,ES,42.1362,-0.4087,1611760717,17.78,63,20,9.26
Walvis Bay,NA,-22.9575,14.5053,1611760717,23.0,64,26,5.14
Istok,XK,42.7808,20.4875,1611760718,0.0,59,40,4.12
Yongchang,CN,30.0381,119.7317,1611760718,7.78,93,100,0.77
Kambove,CD,-10.8764,26.5969,1611760718,22.33,89,60,1.71
Pevek,RU,69.7008,170.3133,1611760718,-32.81,85,100,1.57
